p=2,,,,,,,
q=3,,,,w1,1.369961336,,
,,,,w2,-0.373131519,MSE,41.55679039
Date,Y,Y(t-1),Y(t-2),Predict_AR,Err,Predict_MA,Predict
7/1/1996,86.2321,82.1958,76.9337,83.89867965,-2.333420352,-0.604065301,83.29461435
8/1/1996,86.824,86.2321,82.1958,87.46479922,0.640799223,-3.79356389,83.67123533
9/1/1996,79.4425,86.824,86.2321,86.76960859,7.327108589,-2.466428386,84.3031802
10/1/1996,74.911,79.4425,86.824,76.43638244,1.525382441,1.878162487,78.31454493
11/1/1996,81.3,74.911,79.4425,72.98267295,-8.317327047,3.164430084,76.14710304
12/1/1996,90.753,81.3,74.911,83.42620141,-7.326798593,0.178387994,83.6045894
1/1/1997,98.7482,90.753,81.3,93.99250864,-4.755691358,-4.706247733,89.28626091
2/1/1997,90.0486,98.7482,90.753,101.4184113,11.36981127,-6.799938999,94.61847227
3/1/1997,83.2671,90.0486,98.7482,86.51703451,3.249934509,-0.237559561,86.27947495
4/1/1997,76.3793,83.2671,90.0486,80.47273667,4.093436671,3.28801814,83.76075481
5/1/1997,74.0777,76.3793,83.2671,73.56710838,-0.510591624,6.237727483,79.80483586
6/1/1997,80.0138,74.0777,76.3793,72.98406064,-7.029739359,2.277593185,75.26165383
7/1/1997,88.7168,80.0138,74.0777,81.97508763,-6.741712369,-1.148964771,80.82612286
8/1/1997,88.0487,88.7168,80.0138,91.68291513,3.634215129,-4.760681117,86.92223401
9/1/1997,82.1801,88.0487,88.7168,87.52028035,5.340180352,-3.379078866,84.14120149
10/1/1997,77.7266,82.1801,88.0487,79.72981442,2.003214423,0.744227704,80.47404213
11/1/1997,82.2802,77.7266,82.1801,75.81845124,-6.461748755,3.659203301,79.47765455
12/1/1997,92.3623,82.2802,77.7266,83.7184484,-8.643851596,0.293882007,84.01233041
1/1/1998,95.0701,92.3623,82.2802,95.83144391,0.761343905,-4.367461976,91.46398193
2/1/1998,88.0838,95.0701,92.3623,95.77907592,7.695275924,-4.781418815,90.99765711
3/1/1998,86.8125,88.0838,95.0701,85.19774952,-1.614750484,-0.062410589,85.13533893
4/1/1998,76.9828,86.8125,88.0838,86.0629264,9.0801264,2.280623115,88.34354951
5/1/1998,78.2652,76.9828,86.8125,73.07097956,-5.194220445,5.053550613,78.12453017
6/1/1998,86.7123,78.2652,76.9828,78.49558886,-8.216711137,0.757051824,79.25264069
7/1/1998,94.1078,86.7123,78.2652,89.58928541,-4.518514595,-1.443601727,88.14568368
8/1/1998,93.7954,94.1078,86.7123,96.56895521,2.773555212,-5.976482059,90.59247315
9/1/1998,87.7915,93.7954,94.1078,93.38148514,5.589985143,-3.32055684,90.0609283
10/1/1998,80.3296,87.7915,93.7954,85.27294056,4.943340564,1.281675254,86.55461582
11/1/1998,81.6742,80.3296,87.7915,77.2906704,-4.383529603,4.435626973,81.72629737
12/1/1998,91.9551,81.6742,80.3296,81.91699049,-10.03810951,2.049932035,83.96692253
1/1/1999,102.4467,91.9551,81.6742,95.49971335,-6.94698665,-3.159432849,92.3402805
2/1/1999,91.4671,102.4467,91.9551,106.0366719,14.56957187,-7.122875254,98.91379662
